Player,Club,POS,GP,GS,MINS,Year,Season
Mark Santel,DAL,M,31,26,2470,1997,reg
Christopher Sullivan,SJ ,M,24,8,1017,1997,reg
Kris Kelderman,DC ,M,24,9,910,1997,reg
Tab Ramos,MET,M,13,13,1006,1997,reg
Daniel Peinado,DAL,M,25,22,1870,1997,reg
Dominic Kinnear,SJ ,M,28,24,1939,1997,reg
John Kerr,NE ,F,19,14,1136,1997,reg
Doctor Khumalo,CLB,M,18,18,1323,1997,reg
Ross Paule,COL,M,19,7,858,1997,reg
Alexi Lalas,NE ,D,30,29,2607,1997,reg
Marcelo Balboa,COL,D,28,28,2520,1997,reg
Jason Farrell,CLB,F,18,10,1027,1997,reg
Danny Pena,LA ,D,27,26,2230,1997,reg
Wade Webber,DAL,D,18,18,1588,1997,reg
Todd Yeagley,CLB,M,27,22,1997,1997,reg
Mark Semioli,LA ,D,29,28,2381,1997,reg
John Doyle,SJ ,D,27,27,2376,1997,reg
Ted Chronopoulos,NE ,D,30,30,2624,1997,reg
Frankie Hejduk,TB ,D,23,22,1942,1997,reg
Jorge Salcedo,CLB,M,28,26,2240,1997,reg
Ryan Tinsley,KC ,D,31,29,2588,1997,reg
Brian Kelly,MET,M,21,14,1354,1997,reg
Ted Eck,DAL,M-F,30,22,1839,1997,reg
Temoc Suarez,DAL,M,19,6,721,1997,reg
Alejandro Farias,NE ,M,25,24,2070,1997,reg
Jeff Agoos,DC ,D,29,27,2412,1997,reg
Istvan Urbanyi,SJ ,M,23,19,1555,1997,reg
Greg Vanney,LA ,D,28,27,2318,1997,reg
Mike Clark,CLB,D,31,28,2484,1997,reg
Branco,MET,D,11,11,922,1997,reg
Paul Caligiuri,LA ,D,16,16,1406,1997,reg
Diego Sonora,DAL,M-D,16,16,1421,1997,reg
Edmundo Rodriguez,KC ,M,16,4,543,1997,reg
Michael Emenalo,SJ ,D,27,26,2283,1997,reg
Cle Kooiman,TB ,D,27,27,2296,1997,reg
Mike Lapper,CLB,D,20,20,1785,1997,reg
Brian Bliss,CLB,D,28,24,2047,1997,reg
Zico,SJ ,F,7,3,257,1997,reg
Billy Thompson,CLB,M,6,4,298,1997,reg
Joao Batista,TB ,M,17,12,1051,1997,reg
Jorge Flores,DAL,M,12,8,667,1997,reg
Brian Johnson,KC ,M,14,10,951,1997,reg
Paul Keegan,NE ,F,16,5,652,1997,reg
Steve Rammel,COL,F,21,11,1132,1997,reg
Musa Shannon,TB ,M-F,5,1,148,1997,reg
Brian Kamler,DC ,M,5,1,161,1997,reg
Mario Gori,DC ,D,8,8,609,1997,reg
Clint Peay,DC ,D,13,8,814,1997,reg
Brian Taylor,LA ,M,11,5,413,1997,reg
Ansil Elcock,CLB,D,26,21,1858,1997,reg
Darren Sawatzky,NE ,F,26,5,895,1997,reg
Matt Kmosko,COL,D,31,31,2760,1997,reg
Uche Okafor,KC ,D,27,27,2386,1997,reg
Tim Martin,SJ ,D,28,28,2422,1997,reg
Arnold Cruz,DC ,D,25,23,2058,1997,reg
Sergio Miguez,CLB,D,17,16,1361,1997,reg
David Vaudreuil,DC ,D,25,19,1790,1997,reg
Adam Frye,TB ,D,18,17,1437,1997,reg
Tom Soehn,DAL,D,25,21,1948,1997,reg
Guillermo Jara,LA ,M,15,2,353,1997,reg
Tote Castaneda,COL,M,24,18,1642,1997,reg
Manny Lagos,MET,M,15,15,1216,1997,reg
Marco Ferruzzi,TB ,M,19,5,578,1997,reg
Mike Burns,NE ,M,32,32,2880,1997,reg
Daniel Guzman,SJ ,F,3,3,219,1997,reg
Brandon Pollard,DAL,D,21,16,1526,1997,reg
Andrew Lewis,MET,M,19,15,1421,1997,reg
Gerson Echeverry,MET,F,1,1,74,1997,reg
Rafael Amaya,COL,D,7,3,236,1997,reg
Bill Harte,NE ,M,9,5,459,1997,reg
Peter Hattrup,DAL,M,7,2,225,1997,reg
Jose Botello,LA ,F,7,0,151,1997,reg
Tahj Jakins,COL,D,19,12,1132,1997,reg
Oscar Draguicevich,SJ ,D,13,10,890,1997,reg
Cristian da Silva,MET,D,14,6,592,1997,reg
Ezra Hendrickson,LA ,D,14,6,797,1997,reg
Richard Gough,KC ,D,17,17,1457,1997,reg
Steve Jolley,LA ,D,12,10,882,1997,reg
Guido,MET,M,9,9,792,1997,reg
Rhett Harty,MET,D,26,26,2279,1997,reg
Braeden Cloutier,MET,M,17,10,922,1997,reg
Diego Gutierrez,KC ,D,0,0,0,1997,reg
Rob Johnson,MET,F,2,0,29,1997,reg
Brian Dunseth,NE ,D,5,1,185,1997,reg
Brian Haynes,DAL,M,1,1,70,1997,reg
Tayt Ianni,SJ ,D,1,1,45,1997,reg
Nino Da Silva,KC ,F,1,0,12,1997,reg
John Diffley,KC ,D,6,2,148,1997,reg
Jake Dancy,KC ,M,3,0,116,1997,reg
Altimont Butler,CLB,M,1,1,45,1997,reg
Ubusuku Abukusumo,CLB,D,1,0,19,1997,reg
Derek Backman,TB ,M,3,2,188,1997,reg
Esmundo Rodriguez,SJ ,M,1,0,5,1997,reg
Juan Sastoque,DAL,F,2,0,23,1997,reg
Joey Thieman,DC ,M,3,0,58,1997,reg
Dionysus Sebwe,KC ,D,0,0,0,1997,reg
Ike Udeh,KC ,F,0,0,0,1997,reg
Gabe Jones,DAL,F,1,0,7,1997,reg
Steve Klein,NE ,M,4,0,73,1997,reg
Peter Lak,LA ,D,2,1,33,1997,reg
Greg Lalas,NE ,D,2,0,6,1997,reg
Gerardo Laterza,LA ,M,4,1,128,1997,reg
Jamel Mitchell,KC ,M,1,0,16,1997,reg
David Moxom,TB ,D,0,0,0,1997,reg
Patrick Olalere,NE ,F,1,0,21,1997,reg
Curt Onalfo,SJ ,D,6,3,179,1997,reg
Kevin Wylie,NE ,F,3,0,31,1997,reg
Francis Okaroh,NE ,D,29,29,2528,1997,reg
Todd Miller,CLB,M,3,1,81,1997,reg
Matt Knowles,MET,D,4,2,173,1997,reg
Joao Luiz,MET,D,7,7,585,1997,reg
Dan Stebbins,DAL,F,1,1,38,1997,reg
Damian Silvera,KC ,M,3,1,166,1997,reg
Marco Rizi,MET,D,1,0,33,1997,reg
Richard Farrer,DAL,D,8,6,503,1997,reg
Carlos Llamosa,DC ,D,25,20,1817,1997,reg
Eric Quill,TB ,F,2,1,108,1997,reg
Scott Benedetti,COL,F,3,1,133,1997,reg
Joey Martinez,DAL,D,19,19,1503,1997,reg
Brad Wilson,LA ,D,3,3,222,1997,reg
Jeff Zaun,MET,D,10,6,623,1997,reg
Janusz Michallik,CLB,M,10,6,447,1997,reg
Chris Martinez,COL,D,8,3,330,1997,reg
Carlos Parra,MET,M,4,3,273,1997,reg
Brian Bates,COL,M,11,7,540,1997,reg
Erik Imler,DC ,M,15,9,855,1997,reg
Robin Fraser,LA ,D,24,24,2021,1997,reg
Ante Razov,LA ,F,3,0,79,1997,reg
Eric Dade,DAL,D,15,14,1306,1997,reg
John DeBrito,KC ,D,10,8,621,1997,reg
John Jones,LA ,M,5,0,91,1997,reg
Silvio Rudman,CLB,M,6,2,191,1997,reg
Leonardo Squadrone,NE ,D,23,23,1881,1997,reg
Frank Yallop,TB ,D,27,27,2430,1997,reg
Kerry Zavagnin,MET,M,21,12,1089,1997,reg
Dan Calichman,LA ,D,32,32,2848,1997,reg
Mike Duhaney,TB ,D,27,25,2205,1997,reg
Rob Jachym,CLB,F,9,1,247,1997,reg
Ramiro Corrales,SJ ,M,14,11,1033,1997,reg
Rob Smith,CLB,M,25,8,1106,1997,reg
Steve Pittman,KC ,D,26,23,2068,1997,reg
Stern John,CLB,F,27,25,2170,1998,reg
Cobi Jones,LA ,M,24,24,2136,1998,reg
Raul Diaz Arce,NE ,F,32,32,2878,1998,reg
Roy Lassiter,DC ,F,31,29,2691,1998,reg
Welton,LA ,F,31,29,2435,1998,reg
Jaime Moreno,DC ,F,31,31,2610,1998,reg
Giovanni Savarese,MET,F,30,25,2163,1998,reg
Mauricio Cienfuegos,LA ,M,30,30,2640,1998,reg
Ronald Cerritos,SJ ,F,31,30,2702,1998,reg
Wolde Harris,COL,F,27,10,1133,1998,reg
Eduardo Hurtado,LA ,F,29,28,2526,1998,reg
Diego Serna,MIA,F,26,23,1988,1998,reg
Paul Bravo,COL,M,30,30,2579,1998,reg
Maurice Johnston,KC ,M-F,26,23,2080,1998,reg
Marco Etcheverry,DC ,M,29,29,2590,1998,reg
Preki,KC ,M,25,24,2164,1998,reg
Ante Razov,CHI,F,30,24,2091,1998,reg
Brian McBride,CLB,F,24,24,2117,1998,reg
Ross Paule,COL,M,30,29,2503,1998,reg
Roman Kosecki,CHI,F,25,25,1999,1998,reg
Mauricio Ramos,TB ,M,22,21,1932,1998,reg
Jason Kreis,DAL,M,30,30,2578,1998,reg
Jim Rooney,MET,M,28,23,2040,1998,reg
Josh Wolff,CHI,F,14,4,651,1998,reg
Jeff Cunningham,CLB,F,25,8,1076,1998,reg
Joe-Max Moore,NE ,F,21,21,1864,1998,reg
Alan Prampin,TB ,F,31,28,2450,1998,reg
Lubos Kubik,CHI,D,31,31,2790,1998,reg
Edwin Gorter,NE ,M,28,27,2394,1998,reg
Dante Washington,DAL,F,28,21,1852,1998,reg
Vitalis Takawira,KC ,F,29,21,1769,1998,reg
Musa Shannon,TB ,M-F,18,8,823,1998,reg
Martin Machon,LA ,M,31,29,2588,1998,reg
Jerzy Podbrozny,CHI,F,26,25,1979,1998,reg
Peter Nowak,CHI,M,24,24,1921,1998,reg
Carlos Hermosillo,LA ,F,18,18,1530,1998,reg
Paul Dougherty,MET,F,29,23,2015,1998,reg
Waldir,COL,F,23,17,1382,1998,reg
Paul Wright,KC ,F,30,25,2060,1998,reg
John Harkes,DC ,M,29,29,2600,1998,reg
Eric Wynalda,SJ ,F,16,16,1424,1998,reg
Frank Klopas,CHI,F,27,17,1497,1998,reg
Dan Stebbins,MIA,F,24,11,1263,1998,reg
Brian Kelly,MET,M,29,26,2160,1998,reg
Jason Farrell,CLB,F,28,24,2003,1998,reg
Clint Mathis,LA ,M,30,15,1550,1998,reg
Ezra Hendrickson,LA ,D,27,22,1946,1998,reg
Steve Ralston,TB ,M,30,29,2521,1998,reg
Paulinho McLaren,MIA,F,16,15,1176,1998,reg
Tony Sanneh,DC ,D,17,17,1367,1998,reg
Marcelo Balboa,COL,D,26,25,2290,1998,reg
Marcelo Herrera,MIA,M-F,17,17,1441,1998,reg
Imad Baba,NE ,M,30,29,2484,1998,reg
Henry Gutierrez,MIA,M,26,20,1784,1998,reg
Mickey Trotman,DAL,F,23,15,1278,1998,reg
Ben Olsen,DC ,M,31,24,2107,1998,reg
Victor Mella,SJ ,M,31,25,2350,1998,reg
Jeff Baicher,SJ ,M,20,15,1099,1998,reg
Ritchie Kotschau,CHI,D,24,23,1973,1998,reg
Paul Rideout,KC ,F,27,23,2114,1998,reg
Jorge Rodriguez,DAL,M-D,30,28,2569,1998,reg
Damian,DAL,F,15,13,954,1998,reg
Oscar Draguicevich,SJ ,D,13,7,774,1998,reg
Lawrence Lozzano,LA ,M,13,7,680,1998,reg
Marquis White,COL,F,20,3,492,1998,reg
Ivan McKinley,NE ,D-M,28,28,2282,1998,reg
Harut Karapetyan,LA ,F,20,4,532,1998,reg
Brian Maisonneuve,CLB,M,13,12,903,1998,reg
Diego Sonora,MET,M-D,30,30,2572,1998,reg
Dominic Kinnear,TB ,M,24,8,868,1998,reg
Braeden Cloutier,SJ ,M,30,25,2078,1998,reg
David Vaudreuil,COL,D,27,25,2177,1998,reg
Richie Williams,DC ,M,31,30,2673,1998,reg
Eddie Lewis,SJ ,M,32,32,2835,1998,reg
Roy Wegerle,DC ,F,17,15,1265,1998,reg
Marquinho,COL,M,11,5,596,1998,reg
Greg Vanney,LA ,D,31,27,2321,1998,reg
Miles Joseph,MET,M,15,3,479,1998,reg
Joey DiGiamarino,COL,M,23,16,1554,1998,reg
Rob Smith,CLB,M,24,15,1502,1998,reg
Gilmar,TB ,M-F,12,11,909,1998,reg
Jair,NE ,M,11,8,643,1998,reg
Chad Deering,DAL,M,14,13,1114,1998,reg
Brian Haynes,DAL,M,31,11,1414,1998,reg
Gerell Elliott,DAL,F,17,11,1100,1998,reg
Frankie Hejduk,TB ,D,18,18,1618,1998,reg
A.J. Wood,DC ,F,19,3,416,1998,reg
Jerry Tamashiro,MIA,F,12,5,524,1998,reg
Adrian Paz,COL,M,28,28,2313,1998,reg
Carlos Valderrama,MIA,M,18,18,1542,1998,reg
Robert Warzycha,CLB,M,25,19,1752,1998,reg
Chris Henderson,COL,M,28,22,1915,1998,reg
Mark Chung,KC ,M,30,29,2551,1998,reg
Ryan Tinsley,KC ,D,30,26,2305,1998,reg
Peter Vermes,COL,D,31,31,2675,1998,reg
Francisco Uribe,SJ ,F,12,8,734,1998,reg
Nelson Vargas,MIA,M,18,7,719,1998,reg
Ted Chronopoulos,NE ,D,23,23,1960,1998,reg
Johnny Torres,NE ,F,20,16,1179,1998,reg
Jesse Marsch,CHI,M,29,25,2199,1998,reg
Steve Jolley,LA ,D,28,23,2093,1998,reg
Todd Yeagley,CLB,M,27,22,1957,1998,reg
Wade Barrett,SJ ,D,26,22,1921,1998,reg
Ted Eck,DAL,M-F,31,28,2331,1998,reg
Richard Gough,SJ ,D,19,19,1609,1998,reg
Jan Eriksson,TB ,D,29,28,2342,1998,reg
C.J. Brown,CHI,D,28,28,2470,1998,reg
Alexi Lalas,MET,D,25,25,2250,1998,reg
Andy Williams,CLB,M,13,11,976,1998,reg
Chris Armas,CHI,M,31,31,2790,1998,reg
Billy Thompson,CLB,M,29,24,2190,1998,reg
Mike Burns,NE ,M,23,23,2025,1998,reg
Jorge Salcedo,CHI,M,26,21,1909,1998,reg
Marcelo Vega,MET,M,17,13,1055,1998,reg
Chris Houser,TB ,D,24,22,2005,1998,reg
Tab Ramos,MET,M,17,16,1455,1998,reg
Leo Cullen,MIA,M,31,30,2680,1998,reg
Jeff Agoos,DC ,D,21,20,1780,1998,reg
Wellington Sanchez,LA ,M,13,9,698,1998,reg
Temoc Suarez,DAL,M,20,10,831,1998,reg
Paul Keegan,NE ,F,20,7,892,1998,reg
Brian Kamler,DC ,M,22,20,1743,1998,reg
Scott Vermillion,KC ,D,22,22,1955,1998,reg
Mike Duhaney,MET,D,30,26,2361,1998,reg
Marcelo Carrera,CLB,F,16,5,595,1998,reg
Brian West,CLB,M-F,13,4,478,1998,reg
Richard Farrer,DAL,D,28,24,2119,1998,reg
Richard Goulooze,NE ,D,29,29,2529,1998,reg
Thomas Dooley,CLB,D,23,23,2008,1998,reg
John Doyle,SJ ,D,28,27,2431,1998,reg
Paul Caligiuri,LA ,D,18,14,1293,1998,reg
Frank Yallop,TB ,D,32,29,2703,1998,reg
Mike Petke,MET,D,27,25,2234,1998,reg
Steve Trittschuh,COL,D,30,30,2700,1998,reg
Mike Lapper,CLB,D,7,7,560,1998,reg
Jose Vasquez,LA ,D,8,2,291,1998,reg
Eddie Pope,DC ,D,20,20,1754,1998,reg
Pete Marino,KC ,F,11,1,276,1998,reg
Roger Thomas,MIA,M,5,4,310,1998,reg
Jorge Flores,DAL,M,14,8,777,1998,reg
Tyrone Marshall,COL,D,9,3,349,1998,reg
Ansil Elcock,CLB,D,28,27,2409,1998,reg
Chris Martinez,COL,D,28,28,2358,1998,reg
Martin Vasquez,SJ ,M,28,24,2076,1998,reg
Oscar Pareja,DAL,M,19,17,1486,1998,reg
Leonel Alvarez,DAL,M,27,27,2338,1998,reg
Mike Sorber,MET,M,28,24,2158,1998,reg
Kris Kelderman,MIA,M,21,14,1187,1998,reg
Paul Young,TB ,F,14,8,768,1998,reg
Tahj Jakins,COL,D,22,13,1147,1998,reg
Joe Franchino,LA ,M,16,7,736,1998,reg
Mark Santel,DAL,M,21,20,1634,1998,reg
Pablo Mastroeni,MIA,M,23,19,1611,1998,reg
Francis Okaroh,CHI,D,26,26,2294,1998,reg
Scott Cannon,CLB,D,15,9,750,1998,reg
Brian Sebapole,SJ ,F,12,0,238,1998,reg
Shawn Medved,SJ ,M,19,12,1059,1998,reg
Diego Gutierrez,CHI,D,13,8,812,1998,reg
Jason Boyce,COL,F,15,6,597,1998,reg
Guillermo Jara,LA ,M,16,4,571,1998,reg
Refik Sabanadzovic,KC ,M,21,19,1644,1998,reg
Ricardo Iribarren,CLB,D,24,22,1780,1998,reg
Manny Motajo,NE ,D,15,12,1012,1998,reg
Goran Hunjak,KC ,M,12,2,261,1998,reg
Billy Walsh,MET,M,8,3,337,1998,reg
Uche Okafor,KC ,D,22,22,1967,1998,reg
Geoff Aunger,DC ,D,22,15,1389,1998,reg
Alain Sutter,DAL,M,4,4,341,1998,reg
Scott Uderitz,KC ,D,22,18,1660,1998,reg
Andrew Gregor,CLB,M,10,3,357,1998,reg
Matt Kmosko,MIA,D,27,25,2232,1998,reg
Carlos Parra,MET,M,18,16,1367,1998,reg
Mike Clark,CLB,D,30,30,2571,1998,reg
Kerry Zavagnin,MET,M,18,7,754,1998,reg
Carey Talley,DC ,D,29,19,1756,1998,reg
Danny Pena,LA ,D,25,25,2049,1998,reg
Brian Taylor,MIA,M,6,3,288,1998,reg
Andrew Lewis,CHI,M,13,6,623,1998,reg
Jamar Beasley,NE ,M,3,0,49,1998,reg
Ramiro Corrales,MET,M,4,3,301,1998,reg
Troy Dayak,SJ ,D,11,7,607,1998,reg
Jimmy Glenn,CLB,F,5,3,242,1998,reg
Rhett Harty,MET,D,7,6,544,1998,reg
Brian Loftin,TB ,F,8,2,219,1998,reg
Clint Peay,DC ,D,6,5,394,1998,reg
Mike Slivinski,DC ,M,16,1,258,1998,reg
Sam George,TB ,M,21,20,1591,1998,reg
Wade Webber,MIA,D,28,28,2488,1998,reg
Daniel Hernandez,LA ,M,17,3,458,1998,reg
Arley Palacios,MET,D,24,23,1986,1998,reg
Carlos Rocha,NE ,F,16,4,537,1998,reg
Evans Wise,NE ,M,17,6,764,1998,reg
John Maessner,MIA,M-D,27,15,1575,1998,reg
Sean Bowers,KC ,D,29,29,2565,1998,reg
Zak Ibsen,CHI,M,27,5,908,1998,reg
Rob Jachym,NE ,F,0,0,0,1998,reg
Marco Ferruzzi,LA ,M,0,0,0,1998,reg
John DeBrito,KC ,D,9,3,267,1998,reg
Carlos Ledesma,MET,F,1,0,18,1998,reg
Alen Kozic,MIA,M,2,1,57,1998,reg
John Jones,TB ,M,0,0,0,1998,reg
Edgar Hernandez,DAL,F,0,0,0,1998,reg
Andre Nunley,COL,D,1,0,1,1998,reg
Alberto Montoya,SJ ,M,1,1,59,1998,reg
R.T. Moore,TB ,D,2,0,62,1998,reg
Tom McLaughlin,NE ,F,1,0,29,1998,reg
Tim Martin,SJ ,D,23,21,1847,1998,reg
Ben Parry,SJ ,D,0,0,0,1998,reg
Curt Onalfo,DC ,D,3,0,72,1998,reg
Juan Sastoque,DAL,F,3,0,49,1998,reg
Darren Sawatzky,DAL,F,1,0,3,1998,reg
Zion Renfrum,DAL,D,0,0,0,1998,reg
Andrew Restrepo,DAL,D,0,0,0,1998,reg
Michael Richardson,CHI,D,1,0,6,1998,reg
Nick Theslof,CLB,M,0,0,0,1998,reg
Barry Swift,MET,F,2,0,30,1998,reg
Travis Roy,MET,M,0,0,0,1998,reg
Lyle Yorks,DC ,M,1,0,4,1998,reg
Jesse Van Saun,NE ,F,5,0,117,1998,reg
Craig Yacks,CLB,M,0,0,0,1998,reg
Steve Bell,TB ,F-M,0,0,0,1998,reg
Chris Brown,DAL,D,1,0,16,1998,reg
Dan Calichman,LA ,D,8,8,682,1998,reg
Danny Care,DC ,D,1,1,45,1998,reg
Joe Carver,CHI,F,0,0,0,1998,reg
Eric Chaisongkram,LA ,M,0,0,0,1998,reg
Chuck Codd,CHI,D,0,0,0,1998,reg
Kevin Coye,NE ,D,0,0,0,1998,reg
Ubusuku Abukusumo,CLB,D,7,3,309,1998,reg
Manny Lagos,CHI,M,1,0,11,1998,reg
Brian Dunseth,NE ,D,18,15,1416,1998,reg
Chad McCarty,TB ,D,6,6,540,1998,reg
Brian Bliss,KC ,D,3,1,106,1998,reg
Brian Bates,CHI,M,6,4,286,1998,reg
Eric Dade,DAL,D,20,15,1393,1998,reg
Jake Dancy,KC ,M,2,2,135,1998,reg
Judah Cooks,DC ,M,1,1,90,1998,reg
Jose Botello,LA ,F,2,0,27,1998,reg
Jeff Zaun,MET,D,4,4,360,1998,reg
Esmundo Rodriguez,SJ ,M,3,0,52,1998,reg
David Quesada,LA ,F,1,0,9,1998,reg
Joe Munoz,MET,F,1,0,12,1998,reg
Matt Knowles,MET,D,7,7,548,1998,reg
Tony Kuhn,CHI,F,5,1,137,1998,reg
Nino Da Silva,KC ,F,1,0,32,1998,reg
Dahir Mohammed,NE ,D,7,4,423,1998,reg
Joey Martinez,MIA,D,6,6,390,1998,reg
Tom Soehn,CHI,D,20,17,1543,1998,reg
Tim Weaver,SJ ,D,12,12,1080,1998,reg
Carlos Llamosa,DC ,D,18,18,1444,1998,reg
Robin Fraser,LA ,D,29,29,2456,1998,reg
Cristian da Silva,MET,D,3,3,177,1998,reg
Adam Frye,TB ,D,10,8,710,1998,reg
Brandon Pollard,DAL,D,29,26,2373,1998,reg
Brian Johnson,KC ,M,6,1,140,1998,reg
Janusz Michallik,NE ,M,12,9,759,1998,reg
Mark Semioli,MET,D,10,10,829,1998,reg
Jacek Ziober,TB ,F,3,3,196,1998,reg
Cle Kooiman,MIA,D,14,14,1260,1998,reg
Josh Keller,CHI,M,15,11,827,1998,reg
Sean Henderson,COL,M,21,15,1266,1998,reg
Jason Bent,COL,M,12,9,890,1998,reg
Eric Quill,TB ,F,4,0,141,1998,reg
Mario Gori,DC ,D,17,9,842,1998,reg
Matt McKeon,KC ,D,22,21,1875,1998,reg
Chris Klein,KC ,M,17,8,782,1998,reg
David Nakhid,NE ,M,18,14,1350,1998,reg
Vicente Figueroa,SJ ,D,20,10,1005,1998,reg
Jason Kreis,DAL,M,32,32,2815,1999,reg
Roy Lassiter,DC ,F,30,29,2626,1999,reg
Stern John,CLB,F,28,26,2293,1999,reg
Ronald Cerritos,SJ ,F,31,30,2721,1999,reg
Joe-Max Moore,NE ,F,29,29,2610,1999,reg
Ante Razov,CHI,F,30,24,2068,1999,reg
Raul Diaz Arce,SJ ,F,31,29,2586,1999,reg
Jeff Cunningham,CLB,F,28,15,1556,1999,reg
Musa Shannon,TB ,M-F,27,21,1829,1999,reg
Jaime Moreno,DC ,F,25,25,2114,1999,reg
Jorge Dely Valdes,COL,F,32,27,2415,1999,reg
Giovanni Savarese,NE ,F,27,25,2062,1999,reg
Josh Wolff,CHI,F,28,17,1775,1999,reg
Diego Serna,MIA,F,21,20,1862,1999,reg
Cobi Jones,LA ,M,28,28,2488,1999,reg
Wolde Harris,COL,F,29,24,2096,1999,reg
Welton,LA ,F,29,27,2374,1999,reg
A.J. Wood,DC ,F,24,13,1385,1999,reg
Carlos Hermosillo,LA ,F,16,16,1280,1999,reg
Preki,KC ,M,30,28,2572,1999,reg
Clint Mathis,LA ,M,27,20,1890,1999,reg
Paul Bravo,COL,M,25,23,1966,1999,reg
Eduardo Hurtado,MET,F,28,26,2377,1999,reg
Henry Gutierrez,MIA,M,30,28,2415,1999,reg
Peter Nowak,CHI,M,28,28,2480,1999,reg
Chris Klein,KC ,M,30,24,2198,1999,reg
Steve Ralston,TB ,M,32,32,2872,1999,reg
Ben Olsen,DC ,M,28,26,2292,1999,reg
Brian McBride,CLB,F,25,25,2209,1999,reg
Lubos Kubik,CHI,D,27,27,2387,1999,reg
Alejandro Sequeira,SJ ,F,25,22,1789,1999,reg
Marco Etcheverry,DC ,M,22,22,1890,1999,reg
Carlos Valderrama,MIA,M,31,31,2762,1999,reg
Eddie Lewis,SJ ,M,29,29,2546,1999,reg
Jeff Baicher,NE ,M,30,30,2397,1999,reg
Jerzy Podbrozny,CHI,F,29,28,2357,1999,reg
Roy Myers,LA ,M-F,26,23,1970,1999,reg
Chad Deering,DAL,M,25,22,1936,1999,reg
Oscar Pareja,DAL,M,27,25,1954,1999,reg
Manny Lagos,CHI,M,19,9,872,1999,reg
Tyrone Marshall,MIA,D,28,25,2223,1999,reg
Carey Talley,DC ,D,29,16,1603,1999,reg
Dante Washington,DAL,F,21,10,989,1999,reg
Alex Bunbury,KC ,F,19,17,1579,1999,reg
Ivan McKinley,NE ,D-M,29,29,2430,1999,reg
Ezra Hendrickson,LA ,D,26,19,1708,1999,reg
Ted Eck,DAL,M-F,31,25,2290,1999,reg
Chris Brown,KC ,M-F,28,19,1679,1999,reg
Dario Brose,SJ ,M,27,12,1288,1999,reg
Jefferson Gottardi,TB ,F,11,11,762,1999,reg
Ariel Graziani,DAL,F,11,11,935,1999,reg
Alexi Lalas,KC ,D,30,30,2700,1999,reg
Edwin Gorter,MIA,M,21,18,1607,1999,reg
Billy Walsh,MET,M,30,30,2675,1999,reg
Mauricio Cienfuegos,LA ,M,30,29,2621,1999,reg
Robert Warzycha,CLB,M,28,23,2077,1999,reg
Roman Kosecki,CHI,F,25,23,1825,1999,reg
Ross Paule,COL,M,26,26,2231,1999,reg
Mauricio Ramos,TB ,M,30,28,2254,1999,reg
Mark Chung,MET,M,26,22,1995,1999,reg
Petter Villegas,MET,M,30,10,1409,1999,reg
Chris Henderson,KC ,M,30,29,2625,1999,reg
Geoff Aunger,DC ,D,26,24,2132,1999,reg
Diego Gutierrez,CHI,D,28,25,2164,1999,reg
Maurice Johnston,KC ,M-F,29,29,2537,1999,reg
Ansil Elcock,CLB,D,28,20,1908,1999,reg
John Maessner,DC ,M-D,24,21,1605,1999,reg
Jorge Rodriguez,DAL,M-D,30,28,2538,1999,reg
Johnny Torres,NE ,F,27,10,1248,1999,reg
Henry Zambrano,MET,F,14,14,1186,1999,reg
Ritchie Kotschau,CHI,D,15,11,1072,1999,reg
Mauricio Wright,SJ ,D,27,27,2430,1999,reg
John Jairo Trellez,DAL,F,17,9,792,1999,reg
Joey DiGiamarino,COL,M,26,21,1913,1999,reg
Zak Ibsen,LA ,M,23,9,822,1999,reg
Jay Heaps,MIA,D,29,28,2511,1999,reg
Dema Kovalenko,CHI,M,11,1,291,1999,reg
Brian Maisonneuve,CLB,M,29,28,2495,1999,reg
Richie Williams,DC ,M,23,23,1996,1999,reg
Anders Limpar,COL,M,18,16,1358,1999,reg
Simon Elliott,LA ,M,23,18,1691,1999,reg
Danny Pena,LA ,D,27,27,2276,1999,reg
Brian Kelly,MET,M,28,21,1843,1999,reg
Sasa Curcic,MET,F,9,7,492,1999,reg
Jair,NE ,M,21,17,1323,1999,reg
Jeff Agoos,DC ,D,30,29,2610,1999,reg
Bobby Rhine,DAL,M,16,4,488,1999,reg
Steve Trittschuh,COL,D,12,10,970,1999,reg
Richard Farrer,DAL,D,30,29,2608,1999,reg
Chad McCarty,TB ,D,30,30,2640,1999,reg
Steve Jolley,LA ,D,25,21,1940,1999,reg
Eric Wynalda,MIA,F,6,6,487,1999,reg
Seth George,LA ,F,9,1,201,1999,reg
Mark Semioli,MET,D,24,24,2106,1999,reg
Jamie Clark,SJ ,D,26,22,1894,1999,reg
Saul Martinez,MIA,F,15,4,491,1999,reg
Mauricio Solis,SJ ,M,12,12,1002,1999,reg
Wade Barrett,SJ ,D,31,31,2790,1999,reg
Greg Vanney,LA ,D,31,31,2790,1999,reg
Mark Santel,DAL,M,26,22,1779,1999,reg
Diego Sonora,DC ,M-D,27,27,2201,1999,reg
Chris Armas,CHI,M,22,22,1935,1999,reg
Ted Chronopoulos,NE ,D,31,31,2710,1999,reg
Brian West,CLB,M-F,22,13,1074,1999,reg
John Doyle,SJ ,D,27,25,2150,1999,reg
Mike Lapper,CLB,D,31,30,2700,1999,reg
Brian Kamler,DC ,M,28,23,2063,1999,reg
